Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.81.191-172.16.81.242-54964-7680-6,172.16.81.191,54964,172.16.81.242,7680,6,13/12/2021 02:17:09 pm,1741,3,5,109.0,109.0,75.0,0.0,36.333333333333336,37.554404979087785,75.0,0.0,21.8,33.184333653096004,125215.39345203906,4595.060310166571,248.71428571428572,217.19631234263187,590.0,17.0,935.0,467.5,478.7112908632927,806.0,129.0,1741.0,435.25,359.01009735103554,856.0,91.0,0,0,0,0,60,124,1723.1476163124642,2871.912693854107,0.0,75.0,24.22222222222222,32.17443774869181,1035.1944444444443,0,1,0,0,0,0,0,0,1.0,27.25,36.333333333333336,21.8,0,0,0,0,0,0,3,109,5,109,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.191-172.16.81.242-54964-7680-6,172.16.81.191,54964,172.16.81.242,7680,6,13/12/2021 02:17:09 pm,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54027-6,172.16.83.124,54027,172.16.81.242,7680,6,13/12/2021 02:17:14 pm,3339,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,53908.35579514825,2395.926924228811,477.00000000000006,539.0485445053473,1267.0,0.0,1885.0,942.5,1332.896282536642,1885.0,0.0,3339.0,834.75,824.9142884768899,1762.0,127.0,0,0,0,0,60,124,898.4725965858041,1497.454327643007,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,1026,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54028-6,172.16.83.124,54028,172.16.81.242,7680,6,13/12/2021 02:17:14 pm,2974,3,5,109.0,109.0,75.0,0.0,36.333333333333336,37.554404979087785,75.0,0.0,21.8,33.184333653096004,73301.95023537324,2689.979825151311,424.85714285714283,559.0430599311137,1509.0,1.0,1948.0,974.0,1376.0297961890215,1947.0,1.0,2974.0,743.5,746.5022884537372,1522.0,60.0,0,0,0,0,60,124,1008.7424344317417,1681.2373907195695,0.0,75.0,24.22222222222222,32.17443774869181,1035.1944444444443,0,1,0,0,0,0,0,0,1.0,27.25,36.333333333333336,21.8,0,0,0,0,0,0,3,109,5,109,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54027-6,172.16.83.124,54027,172.16.81.242,7680,6,13/12/2021 02:17:14 pm,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54028-6,172.16.83.124,54028,172.16.81.242,7680,6,13/12/2021 02:17:14 pm,63,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31746.031746031746,63.0,0.0,63.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15873.015873015873,15873.015873015873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.210-7680-55286-6,172.16.83.210,55286,172.16.81.242,7680,6,13/12/2021 02:17:15 pm,3066,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,58708.41487279843,2609.262883235486,438.0,528.7696410851642,1285.0,0.0,1723.0,861.5,1218.3449839844213,1723.0,0.0,3066.0,766.5,749.5996709355378,1509.0,111.0,0,0,0,0,60,124,978.4735812133072,1630.7893020221786,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,1026,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.210-7680-55286-6,172.16.83.210,55286,172.16.81.242,7680,6,13/12/2021 02:17:15 pm,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.191-13.71.55.58-54968-443-6,172.16.81.191,54968,13.71.55.58,443,6,13/12/2021 02:17:22 pm,139046,7,1,1501.0,0.0,1283.0,0.0,214.42857142857142,472.9153754964544,0.0,0.0,0.0,0.0,10794.988708772637,57.534916502452425,19863.714285714286,30592.686842415384,66506.0,90.0,138090.0,23015.0,32244.037154177826,66506.0,90.0,0,0,0,0,0,0,0,0,0,140,20,50.343051939645875,7.191864562806553,0.0,1283.0,166.77777777777777,420.32986385033894,176677.19444444447,0,0,0,0,1,0,0,0,0.0,187.625,214.42857142857142,0.0,0,0,0,0,0,0,7,1501,1,0,-1,1029,4,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.82-7680-54989-6,172.16.83.82,54989,172.16.81.242,7680,6,13/12/2021 02:17:23 pm,2260,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,79646.01769911505,3539.823008849558,322.85714285714283,335.4029559457442,957.0,31.0,1409.0,704.5,593.2625894155134,1124.0,285.0,2260.0,565.0,519.675539800236,1036.0,48.0,0,0,0,0,60,124,1327.4336283185842,2212.3893805309735,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
